customer_id,full_name,age,country,account_open_date,transaction_date,transaction_type,transaction_amount,account_balance,is_international
221958,Jordan Smith,34,India,2018-04-14,2024-03-11,ATM,1584.01,17857.01,False
771155,Casey Williams,22,France,2019-06-14,2024-04-27,Online,-463.09,13702.98,False
231932,Morgan Brown,46,Germany,2017-07-02,2023-01-25,POS,1622.31,20970.86,False
465838,Jordan Anderson,21,India,2016-03-29,2024-10-14,ATM,3854.46,20404.84,False
359178,Jordan Thomas,27,Italy,2015-02-06,2023-04-27,Online,2777.94,20849.51,False
744167,Sam Smith,73,India,2024-04-10,2024-04-26,POS,56.93,18734.99,False
210268,Alex Johnson,34,UK,2019-09-08,2024-01-27,ATM,4159.27,20206.1,False
832180,Morgan Williams,27,Netherlands,2023-04-09,2024-06-20,Online,2420.97,15938.72,True
154886,Cameron Thomas,34,Australia,2017-03-06,2023-03-20,ATM,4129.48,4343.28,False
237337,Alex Anderson,37,France,2017-08-30,2024-08-02,Deposit,2691.22,12061.15,False
621430,Morgan Anderson,41,France,2016-08-15,2023-06-22,Transfer,2578.29,14044.42,False
187498,Sam Williams,22,Netherlands,2018-02-11,2023-01-12,Transfer,78.93,6229.13,True
999159,Jamie Thomas,51,Germany,2023-07-09,2023-05-08,Deposit,420.48,6850.76,True
275203,Casey Smith,23,Italy,2018-08-17,2024-08-30,ATM,4846.14,24073.21,False
291335,Taylor Davis,70,France,2021-03-21,2023-04-02,Deposit,756.68,18601.73,False
378167,Riley Jones,19,Netherlands,2015-11-14,2024-10-14,Transfer,4875.99,21874.65,False
141090,Taylor Williams,30,USA,2021-07-24,2024-06-26,Transfer,2425.52,10605.15,True
429365,Riley Johnson,60,UK,2020-12-02,2024-06-15,ATM,246.84,619.44,False
164820,Jordan Davis,60,Canada,2022-07-08,2024-10-19,Transfer,46.16,1742.58,True
887201,Jordan Miller,65,Netherlands,2018-09-08,2024-03-22,Deposit,648.75,6961.46,False
421879,Riley Thomas,28,Italy,2019-05-11,2024-01-25,ATM,4591.01,5004.29,False
818315,Casey Smith,68,Netherlands,2023-07-09,2024-11-02,Deposit,1777.83,2219.11,False
427069,Jamie Anderson,64,Netherlands,2020-03-04,2023-02-12,ATM,1674.89,20015.3,False
876997,Jordan Davis,74,Germany,2020-09-18,2023-09-11,Transfer,1222.63,15375.18,False
299041,Jordan Anderson,40,Spain,2020-06-19,2023-05-10,Online,308.84,6557.06,False
891743,Casey Thomas,72,India,2019-11-08,2023-03-01,ATM,2183.18,4922.81,True
203355,Riley Thomas,33,Canada,2018-08-05,2024-10-24,ATM,215.26,10496.81,True
335796,Morgan Johnson,48,Spain,2018-07-09,2024-04-11,Online,4095.14,4301.53,True
314176,Alex Williams,28,Spain,2015-08-04,2023-10-14,Transfer,1537.18,20311.61,True
284779,Casey Johnson,71,Spain,2023-10-24,2024-05-31,Deposit,1561.42,9916.24,False
447449,Morgan Johnson,33,Italy,2021-07-11,2024-04-11,POS,2107.04,10213.51,False
521909,Sam Jones,25,Canada,2023-11-14,2023-12-11,Online,1942.7,9815.51,True
358795,Jamie Miller,21,Spain,2020-11-09,2024-10-03,POS,4971.72,6451.35,True
586232,Taylor Miller,57,Australia,2021-07-28,2024-01-17,Transfer,2499.6,15302.21,False
600186,Riley Williams,21,Australia,2022-03-03,2024-11-20,ATM,-14.89,14671.88,False
256730,Casey Johnson,73,USA,2024-12-21,2023-09-10,ATM,2837.83,16392.73,False
970910,Drew Brown,42,Spain,2022-11-03,2023-02-25,Transfer,333.71,3188.58,False
484681,Cameron Williams,20,Germany,2019-09-01,2024-04-07,Deposit,-329.84,11289.08,False
249503,Taylor Wilson,49,Netherlands,2022-09-29,2024-04-01,Deposit,4839.08,16271.82,False
754811,Sam Jones,20,USA,2015-12-29,2023-03-24,Transfer,3754.46,21135.83,True
627035,Cameron Williams,44,France,2022-02-17,2023-04-09,Transfer,4890.6,12535.24,True
748143,Riley Smith,46,Netherlands,2024-05-09,2023-05-29,Transfer,2128.33,9620.9,False
552366,Morgan Smith,49,Germany,2019-09-13,2023-11-25,Transfer,2427.42,14836.11,True
165725,Riley Davis,67,Canada,2018-04-08,2023-06-05,Transfer,425.85,13124.0,False
229981,Casey Johnson,68,USA,2015-12-22,2023-07-09,Transfer,857.99,10296.77,False
184654,Morgan Thomas,36,UK,2015-07-10,2024-05-08,ATM,4112.02,13028.9,False
691723,Riley Williams,38,France,2021-10-05,2023-09-20,POS,1459.02,11392.56,True
419030,Jamie Davis,22,Italy,2016-11-30,2023-03-21,Deposit,4047.48,21282.28,True
428947,Jamie Brown,35,India,2020-08-16,2024-02-04,POS,3399.58,12676.8,False
655839,Casey Brown,45,Italy,2020-12-20,2024-08-31,ATM,474.44,19279.08,True
373538,Morgan Anderson,59,Germany,2016-07-10,2023-09-17,Online,2290.96,12420.63,False
431236,Cameron Jones,39,Canada,2017-04-05,2024-09-06,POS,3225.63,22214.72,True
